"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000273814 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000273814 (pp) 9606.ENSP00000298910","0.126",,,,,,,"0.461","0.409"
"pp","9606.ENSP00000273814 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000273814 (pp) 9606.ENSP00000500990",,,,,,,,"0.4","0.4"
"pp","9606.ENSP00000273814 (pp) 9606.ENSP00000479261","false","pp","9606.ENSP00000273814 (pp) 9606.ENSP00000479261","0.046",,,,,,,"0.458","0.455"
"pp","9606.ENSP00000280571 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000280571 (pp) 9606.ENSP00000298910","0.08",,,,,,,"0.421","0.397"
"pp","9606.ENSP00000280571 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000280571 (pp) 9606.ENSP00000356107","0.049",,,,,,,"0.716","0.714"
"pp","9606.ENSP00000280871 (pp) 9606.ENSP00000350377","false","pp","9606.ENSP00000280871 (pp) 9606.ENSP00000350377","0.042",,,,,,,"0.412","0.412"
"pp","9606.ENSP00000280871 (pp) 9606.ENSP00000381666","false","pp","9606.ENSP00000280871 (pp) 9606.ENSP00000381666","0.061",,,,,,,"0.401","0.389"
"pp","9606.ENSP00000280871 (pp) 9606.ENSP00000423399","false","pp","9606.ENSP00000280871 (pp) 9606.ENSP00000423399","0.065",,,"0.395",,,,"0.41",
"pp","9606.ENSP00000280871 (pp) 9606.ENSP00000357389","false","pp","9606.ENSP00000280871 (pp) 9606.ENSP00000357389",,,,,,,,"0.449","0.449"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000340820",,,"0.5",,,,,"0.522","0.085"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000479669","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000479669","0.048",,"0.65",,,,,"0.724","0.241"
"pp","9606.ENSP00000295225 (pp) 9606.ENSP00000371587","false","pp","9606.ENSP00000295225 (pp) 9606.ENSP00000371587","0.074","0.056","0.4",,,,,"0.446","0.069"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000351022","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000351022","0.042",,,"0.128",,,,"0.781","0.76"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000365162","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000365162","0.111",,,"0.075",,,,"0.714","0.681"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000357283","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000357283",,,,,,,,"0.752","0.752"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000355533","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000355533","0.046",,,,,,,"0.481","0.479"
"pp","9606.ENSP00000295688 (pp) 9606.ENSP00000358081","false","pp","9606.ENSP00000295688 (pp) 9606.ENSP00000358081","0.113",,"0.72","0.058",,,,"0.764","0.112"
"pp","9606.ENSP00000295688 (pp) 9606.ENSP00000431418","false","pp","9606.ENSP00000295688 (pp) 9606.ENSP00000431418",,,,"0.085",,,,"0.419","0.391"
"pp","9606.ENSP00000295688 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000295688 (pp) 9606.ENSP00000298910",,,,"0.523",,,,"0.528","0.051"
"pp","9606.ENSP00000296679 (pp) 9606.ENSP00000354376","false","pp","9606.ENSP00000296679 (pp) 9606.ENSP00000354376",,,,"0.096",,,,"0.483","0.452"
"pp","9606.ENSP00000296597 (pp) 9606.ENSP00000368140","false","pp","9606.ENSP00000296597 (pp) 9606.ENSP00000368140","0.104",,,,,,,"0.572","0.542"
"pp","9606.ENSP00000296597 (pp) 9606.ENSP00000423399","false","pp","9606.ENSP00000296597 (pp) 9606.ENSP00000423399","0.473",,,,,,,"0.487","0.067"
